,PRC,BDR,SFA,BDA,ELY,GRG,CFT,PRV,PPM,IPM
1,500000000,3.0,72,51,2200,1,1,2,6940000,2470000
2,600000000,3.0,60,48,2200,1,1,2,10000000,2970000
3,797000000,2.0,24,46,2200,1,1,2,15905000,3940000
4,730000000,2.0,93,65,1300,1,1,2,7850000,3610000
5,690000000,3.0,50,53,1300,1,1,2,13800000,3410000
6,800000000,1.0,90,76,450,1,1,2,8890000,3960000
7,425000000,2.0,18,36,2200,0,1,2,15905000,2100000
10,465000000,2.0,60,34,1300,1,0,2,7760000,2300000
11,400000000,2.0,60,30,1300,1,1,2,6670000,1980000
12,425000000,2.0,18,32,2200,0,1,2,15905000,2100000
13,755000000,2.0,39,60,2200,1,1,2,15905000,3740000
15,790000000,2.0,60,48,2200,1,1,2,13170000,3910000
17,550000000,2.0,30,76,1300,1,1,2,15905000,2720000
18,610000000,2.0,58,58,1300,0,1,2,10520000,3020000
19,685000000,2.0,23,48,2200,1,1,2,15905000,3390000
20,515000000,2.0,18,36,2200,0,1,2,15905000,2550000
23,795000000,2.0,75,73,1300,1,1,2,10600000,3930000
25,685000000,2.0,77,43,1300,1,1,2,8900000,3390000
26,450000000,3.0,60,45,1300,1,1,2,7500000,2230000
28,650000000,3.0,60,50,1300,1,1,2,10830000,3220000
29,680000000,3.0,60,50,1300,1,1,2,11330000,3360000
30,485000000,2.0,40,70,2200,1,1,2,12120000,2400000
42,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
43,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
44,420000000,2.0,21,38,2200,0,1,2,15905000,2080000
55,1163000000,4.0,115,76,3500,0,1,2,15905000,940000
56,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
57,299000000,2.0,72,36,1300,0,1,2,4150000,1480000
58,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
59,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
60,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
61,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
62,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
63,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
64,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
65,725000000,3.0,60,55,2200,1,1,2,12080000,3590000
69,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
70,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
74,299000000,2.0,72,72,1300,0,1,2,4150000,1480000
87,695000000,2.0,23,49,2200,1,1,2,15905000,3440000
88,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
89,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
90,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
91,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
92,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
94,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
95,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
96,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
97,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
98,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
99,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
100,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
101,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
102,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
103,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
104,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
105,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
106,600000000,3.0,60,50,2200,1,1,2,10000000,2970000
107,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
108,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
109,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
110,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
111,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
112,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
113,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
114,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
116,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
117,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
118,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
119,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
120,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
121,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
122,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
123,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
124,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
125,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
126,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
127,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
128,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
129,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
130,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
131,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
132,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
133,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
134,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
135,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
136,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
137,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
138,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
139,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
140,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
141,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
142,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
143,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
144,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
145,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
146,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
147,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
148,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
149,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
150,689000000,3.0,60,50,2200,1,1,2,11480000,3410000
151,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
152,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
153,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
154,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
155,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
156,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
157,650000000,3.0,60,50,2200,1,1,2,10830000,3220000
158,480000000,2.0,20,38,2200,0,1,2,15905000,2370000
